Classificacao,P/L,P/VP,DY,P/Ativo,ROE,P/Cap.Giro,P/EBIT,PSR,ROIC
C2,4.72,1.02,0.0,353.0,0.2157,3.76,2.01,789.0,0.2295
C2,4.04,0.65,0.0,340.0,0.1614,1.38,4.52,577.0,0.0862
C2,4.14,0.67,0.0,349.0,0.1614,1.41,4.64,592.0,0.0862
C3,13.89,3.13,0.0268,2070.0,0.2253,5.73,13.36,2317.0,0.1687
C3,17.41,3.61,0.0132,2193.0,0.2076,5.78,15.79,3278.0,0.1619
C1,-1.26,4.35,0.0,247.0,-3.4616,5.72,-4.21,719.0,-0.0669
C2,9.24,1.17,0.0348,580.0,0.1268,2.38,3.41,797.0,0.2064
C1,-0.03,2.59,0.0,20.0,-82.4683,-0.03,-0.08,17.0,-0.2856
C1,-0.05,4.3,0.0,33.0,-82.4683,-0.06,-0.13,29.0,-0.2856
C1,-0.03,0.0,0.0,26.0,0.1011,-0.01,-0.06,124.0,-0.45
C1,-0.07,-0.01,0.0,54.0,0.1011,-0.02,-0.13,260.0,-0.45
C3,10.04,2.84,0.0345,1967.0,0.2824,3.93,11.56,1991.0,0.2065
C3,8.28,2.34,0.0,1621.0,0.2824,3.24,9.52,1641.0,0.2065
C2,-6.73,1.69,0.0,236.0,-0.2505,-2.11,4.09,253.0,0.0785
C2,-6.7,1.68,0.0,235.0,-0.2505,-2.1,4.07,252.0,0.0785
C3,19.7,2.9,0.0406,792.0,0.1473,15.38,11.6,640.0,0.1703
C3,19.48,2.87,0.0451,783.0,0.1473,15.21,11.47,633.0,0.1703
C2,8.19,2.07,0.0827,363.0,0.2532,-7.94,1.92,859.0,0.2418
C3,8.03,1.39,0.0399,964.0,0.1735,2.62,6.8,410.0,0.1763
C3,12.83,2.23,0.0275,1540.0,0.1735,4.18,10.87,656.0,0.1763
C2,8.07,0.98,0.0,400.0,0.1217,13.41,2.42,1067.0,0.1836
