Classificacao,P/L,P/VP,DY,P/Ativo,ROE,P/Cap.Giro,P/EBIT,PSR,ROIC
C2,5.21,0.63,0.0492,346.0,0.1213,2.5,3.42,512.0,0.1116
C2,4.58,0.56,0.0616,304.0,0.1213,2.19,3.0,449.0,0.1116
C2,9.66,0.68,0.0232,199.0,0.0702,0.38,5.88,534.0,0.0403
C3,8.07,1.71,0.0477,1333.0,0.2119,4.09,7.24,1948.0,0.2557
C3,6.63,1.4,0.0639,1095.0,0.2119,3.36,5.94,1600.0,0.2557
C2,-0.97,4.29,0.0,163.0,-4.4386,0.84,-1.05,77.0,-0.2771
C3,12.03,2.59,0.0759,899.0,0.2157,9.59,5.13,2010.0,0.2295
C1,7.08,0.4,0.0,335.0,0.0563,5.01,-3.79,13503.0,-0.0944
C3,11.66,1.31,0.0331,692.0,0.1126,7.1,7.71,1757.0,0.1184
C3,27.12,1.57,0.0251,696.0,0.0579,10.74,10.89,1552.0,0.0735
C3,13.49,2.1,0.0282,1024.0,0.1559,2.78,7.33,1197.0,0.2171
C2,5.29,0.82,0.0,402.0,0.1559,1.09,2.88,470.0,0.2171
C2,-1.76,-0.44,0.0,107.0,0.2522,-0.31,2.4,99.0,0.0628
C1,-0.64,-0.06,0.0,149.0,0.1001,-0.05,-1.1,631.0,-0.1854
C2,0.45,-0.05,0.0,301.0,-0.1061,-0.67,1.26,-2068.0,0.2506
C2,0.31,-0.03,0.0,205.0,-0.1061,-0.46,0.86,-1411.0,0.2506
C3,-14.97,1.32,0.0,791.0,-0.0883,7.57,13.53,1518.0,0.0712
C2,7.11,1.17,0.1259,661.0,0.1642,-4.54,4.16,1693.0,0.2002
C2,7.19,1.18,0.1245,669.0,0.1642,-4.59,4.21,1712.0,0.2002
C2,7.55,1.24,0.0,81.0,0.1641,3.13,6.04,1336.0,0.0136
C2,7.55,1.24,0.0,81.0,0.1641,3.13,6.04,1336.0,0.0136
C2,4.37,0.85,0.1359,567.0,0.1952,2.09,3.4,548.0,0.1939
C2,4.74,0.92,0.1255,614.0,0.1952,2.26,3.68,594.0,0.1939
C3,21.39,4.34,0.0143,1308.0,0.2031,3.68,11.58,1215.0,0.1584
C3,14.62,2.05,0.0,1140.0,0.1405,2.72,13.03,675.0,0.1161
C2,3.8,0.7,0.0986,162.0,0.1839,0.58,0.99,159.0,0.1935
C2,3.86,0.71,0.0971,165.0,0.1839,0.59,1.01,162.0,0.1935
C2,-19.38,-0.13,0.0,168.0,7.0,-0.25,1.82,155.0,0.1122
C2,-0.6,0.22,0.0,75.0,-0.3704,-0.74,-0.75,-1104.0,-0.1181
C3,11.51,1.9,0.2015,1730.0,0.1652,3.26,19.46,2606.0,0.1136
C1,2.03,-0.28,0.0,262.0,-0.1378,0.64,-19.48,523.0,-0.0426
C2,9.03,0.27,0.0319,69.0,0.0304,0.14,4.07,350.0,0.0185
C3,8.8,0.29,0.0,130.0,0.0334,11.77,2.14,3776.0,0.0644
C3,13.73,2.16,0.0328,1000.0,157.0,6.09,9.1,2944.0,0.1228
C1,-2.04,0.4,0.0,171.0,-0.1952,22.94,-7.7,571.0,-0.0279
C1,0.56,-0.34,0.0,1035.0,-601.0,-0.99,-3.7,30247.0,-0.5799
C1,0.06,-0.04,0.0,111.0,-601.0,-0.11,-0.4,3248.0,-0.5799
C1,0.06,-0.04,0.0,112.0,-601.0,-0.11,-0.4,3266.0,-0.5799
C3,25.73,1.89,0.0,921.0,0.0736,15.49,11.54,5549.0,0.0969
C3,22.21,1.53,0.0102,849.0,0.0691,6.08,12.11,5689.0,0.0833
C3,21.53,1.49,0.0106,823.0,0.0691,5.89,11.74,5515.0,0.0833
C2,-12.52,-1.44,0.0,564.0,0.1152,-0.65,8.22,568.0,0.0761
C2,-12.26,-1.41,0.0,552.0,0.1152,-0.64,8.04,556.0,0.0761
C2,-12.4,-1.43,0.0,558.0,0.1152,-0.64,8.14,562.0,0.0761
C3,15.73,2.63,0.0,1395.0,0.1669,5.7,14.13,683.0,0.1252
C3,16.28,2.72,0.0,1443.0,0.1669,5.89,14.62,707.0,0.1252
C1,-0.48,-0.1,0.0,141.0,0.2128,-0.14,-3.33,20312.0,-0.0447
C1,-0.37,-0.08,0.0,108.0,0.2128,-0.11,-2.53,15476.0,-0.0447
C3,13.49,2.98,0.0075,1514.0,0.2212,3.33,13.99,1652.0,0.1968
C1,-10.79,0.81,0.0,161.0,-0.0747,0.0,-3.09,492.0,0.0
C3,4.21,1.32,0.0498,416.0,313.0,2.0,14.22,1532.0,0.0348
C2,9.03,0.99,0.1057,212.0,0.1097,1.94,-0.83,114.0,-0.3214
C1,-2.09,-0.09,0.0,49.0,0.0417,-0.34,-1.0,745.0,-0.0532
C2,7.97,0.67,0.0937,319.0,0.0846,1.49,5.81,2027.0,0.0588
C3,24.98,0.63,0.0267,160.0,0.0251,0.51,3.86,163.0,0.0572
C3,20.27,1.93,0.0029,468.0,0.0951,2.34,12.96,4667.0,0.0456
C2,6.98,1.54,0.0267,261.0,0.2207,3.15,3.01,379.0,0.0975
C3,6.87,3.22,0.0951,1763.0,0.4685,5.75,5.62,1326.0,0.4361
C2,5.72,2.2,0.0605,527.0,0.3854,4.84,4.07,1318.0,0.1576
C2,5.72,2.2,0.0606,527.0,0.3854,4.83,4.07,1318.0,0.1576
