Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
IDVL11  140.00  -66.00     60.56   0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.9176 0.00   
SCLO3   14.10   -55.04     -83.94  0.000      0.00    725.908    -76.91     -96.03     -76.23      -96.22      -96.22  0.00        0.00        0.01    -7.8259     1.5253 0.00   
DOHL3   6.65    -53.92     0.72    0.824      0.00    0.506      1.13       -32.60     1.95        -36.05      222.22  -0.0253     -0.0153     5.15    -0.0174     -0.0133 238.05 
PEFX3   19.00   -52.04     1.68    0.477      0.00    0.597      20.34      5.75       -3.18       6.59        0.00    0.083       -0.0092     1.07    0.1177      -0.0324 0.00   
PEFX5   19.00   -52.04     1.68    0.477      0.00    0.597      20.34      5.75       -3.18       6.59        0.00    0.083       -0.0092     1.07    0.1177      -0.0324 0.00   
OFSA3   21.85   -50.47     1.76    1.196      0.0291  0.928      2.43       9.16       5.72        9.82        7.72    0.1306      -0.0237     2.51    0.1382      -0.0349 180515.00
MTIG4   23.00   -49.52     -359.15 56.001     0.00    36.906     -50.93     -94.31     -44.00      -95.57      -104.60 -0.5938     -1.1309     0.27    -0.478      7.2528 0.00   
TOYB4   2.50    -47.96     -5.43   5.256      0.00    4.405      -6.47      -9.04      -3.83       -9.15       -9.67   -0.5816     -0.1096     0.49    -0.5936     0.1131 0.00   
MYPK4   31.79   -47.49     1.27    0.313      0.00    0.324      1.66       7.18       -1.73       12.78       7.50    0.0436      -0.0003     1.58    0.0685      -0.0268 0.00   
IMBI3   5.01    -46.42     2.81    2659.020   0.00    0.518      -2.21      -97.12     -0.37       -104.72     -107.45 -27.3788    -138.212    0.05    -0.0054     -0.0605 0.00   
MAPT4   7.20    -45.32     -1.06   0.000      0.00    8.560      -6616.80   -47.26     -0.95       -47.26      -47.26  0.00        0.00        0.00    -0.1811     0.0235 118.85 
DOHL4   5.58    -45.25     0.60    0.691      0.00    0.425      0.95       -27.36     1.64        -30.80      189.88  -0.0253     -0.0153     5.15    -0.0174     -0.0133 17277.70
CLAN4   3.00    -44.92     0.47    15.151     0.00    0.406      -15.50     -82.56     -6.36       -97.43      22.68   -0.1835     -0.3373     0.73    -0.005      -0.0105 0.00   
TOYB3   2.29    -43.94     -4.97   4.815      0.00    4.035      -5.93      -8.28      -3.50       -8.39       -8.87   -0.5816     -0.1096     0.49    -0.5936     0.1131 0.00   
USIM6   16.31   -43.88     0.87    0.717      0.0202  0.508      1.53       15.84      4.29        16.11       9.05    0.0452      -0.0061     3.43    0.0404      -0.0199 0.00   
