Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
PMET5   0.65    -3.95      -0.16   4.518      0.00    30.248     -0.22      89.99      -0.16       503.88      503.88  0.0502      -1.1449     0.01    0.3897      0.041 0.00   
LFFE3   3.11    -3.92      3.26    0.000      0.00    2.877      0.00       -21.18     0.00        -17.80      8.39    0.00        0.00        0.00    0.00        -0.831 0.00   
FBMC3   80.00   -3.78      -0.92   3.858      0.00    1.384      -1.79      -2.85      -0.64       -3.31       -3.69   -1.3559     -1.0197     0.31    -0.647      0.2419 0.00   
CEED3   21.73   -3.77      -0.50   0.303      0.00    0.199      -5.26      2.71       -0.20       7.80        6.13    0.1115      -0.0803     0.91    0.0965      0.1327 1346.03
FRIO3   95.00   -3.77      -0.89   0.202      0.00    0.225      -0.63      4.29       -0.46       19.47       12.10   0.0472      -0.0453     0.67    0.0744      0.2353 68250.60
CEED4   21.60   -3.75      -0.50   0.301      0.00    0.198      -5.23      2.70       -0.19       7.79        6.12    0.1115      -0.0803     0.91    0.0965      0.1327 336.00 
AZUL4   17.44   -3.74      -0.31   0.346      0.00    0.355      -0.50      2.72       -0.19       12.39       6.12    0.1272      -0.0923     0.28    0.1643      0.0824 192693000.00
CVCB3   3.30    -3.62      3.97    1.374      0.00    0.431      -4.19      -300.18    -1.26       -367.79     10.40   -0.0046     -0.3797     0.84    -0.0021     -1.098 76933500.00
TLCP4   34.11   -3.57      1.25    0.586      0.00    0.379      -1.96      -18.91     -0.95       -36.16      -36.16  -0.031      -0.164      0.61    -0.0252     -0.3504 0.00   
BRKM3   21.00   -3.55      3.33    0.230      0.00    0.182      1.28       -5.51      -0.33       -13.37      18.33   -0.0417     -0.0689     1.54    -0.0506     -0.9387 1087940.00
BRKM5   20.45   -3.46      3.25    0.224      0.00    0.177      1.24       -5.37      -0.32       -13.22      18.13   -0.0417     -0.0689     1.54    -0.0506     -0.9387 65430800.00
NORD3   3.90    -3.44      -0.17   11.446     0.00    1.389      -0.16      -69.04     -0.15       -170.47     -170.47 -0.1658     -3.3285     0.01    -0.0204     0.048 626.15 
BECE3   9.10    -3.42      8.72    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -2.552 0.00   
BECE4   8.75    -3.29      8.38    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -2.552 0.00   
MBLY3   2.33    -3.07      0.50    0.432      0.00    0.318      0.90       -2.99      1.75        -3.50       -22.43  -0.1443     -0.1407     2.76    -0.1428     -0.1644 6157990.00
PNOR6   1.87    -2.90      0.55    0.354      0.00    0.205      0.70       8.52       -2.32       4.57        4.57    0.0415      -0.1174     2.50    0.0361      -0.1884 0.00   
PNOR5   1.87    -2.90      0.55    0.354      0.00    0.205      0.70       8.52       -2.32       4.57        4.57    0.0415      -0.1174     2.50    0.0361      -0.1884 0.00   
MWET4   6.72    -2.89      -1.33   0.050      0.00    0.048      -0.57      -2.20      -0.07       -14.38      -46.56  -0.0225     -0.0172     0.82    -0.0245     0.4611 21257.10
STRP4   0.21    -2.85      -0.43   0.416      0.00    0.111      -0.18      -0.45      -0.09       -1.15       -1.15   -0.9182     -0.1458     0.13    -0.2549     0.1495 0.00   
TPIS3   4.02    -2.84      0.21    0.184      0.0457  0.062      -0.46      -2.76      -0.10       -26.44      18.59   -0.0669     -0.0691     0.27    -0.0239     -0.0727 277456.00
BRKM6   16.00   -2.71      2.54    0.175      0.00    0.139      0.97       -4.20      -0.25       -12.05      16.53   -0.0417     -0.0689     1.54    -0.0506     -0.9387 2822.12
BAHI3   8.29    -2.70      5.08    0.579      0.00    0.350      -0.93      -16.52     -0.41       -30.00      79.47   -0.0351     -0.2211     0.13    -0.0219     -1.8832 23918.70
IFCM3   1.75    -2.65      0.50    0.636      0.00    0.211      -26.05     -14.97     -0.70       -27.23      10.10   -0.0425     -0.2404     0.97    -0.0176     -0.1875 10323100.00
AGXY3   3.90    -2.64      0.65    0.064      0.0102  0.085      2.92       1.51       -1.01       3.89        2.88    0.0425      -0.0234     1.04    0.1113      -0.2461 214474.00
LIXC3   1.75    -2.62      1.52    395.995    0.00    0.069      0.28       -4.21      3.84        -6.37       -6.68   -94.1321    -143.868    1.34    -0.019      -0.5785 0.00   
MLAS3   2.20    -2.52      0.51    0.479      0.00    0.310      0.58       -2.48      0.85        -2.54       -2.81   -0.193      -0.1901     3.45    -0.165      -0.2023 8235610.00
WEST3   1.37    -2.45      0.56    0.719      0.00    0.415      0.97       -1.72      1.12        -0.33       -0.45   -0.4175     -0.2931     3.16    -0.4701     -0.2268 338221.00
BICB4   8.25    -2.43      2.21    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.91 0.00   
BICB3   8.00    -2.35      2.14    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.91 0.00   
TRAD3   0.94    -2.30      0.55    4.663      0.00    0.517      2.32       -3.33      2.33        -2.00       -2.78   -1.3984     -2.036      4.63    -0.1961     -0.2405 596469.00
CTSA3   4.00    -2.26      0.48    1.033      0.00    0.176      2.16       -1.90      -0.53       -4.91       -6.04   -0.5435     -0.4569     1.37    -0.1065     -0.2136 30183.90
ARLA4   3.38    -2.21      -0.62   2.137      0.00    0.442      -0.31      -6.74      -0.29       -17.87      -17.87  -0.3172     -0.9655     0.10    -0.1371     0.28  0.00   
LIXC4   1.45    -2.17      1.26    328.110    0.00    0.057      0.23       -3.49      3.18        -5.65       -5.92   -94.1321    -143.868    1.34    -0.019      -0.5785 0.00   
MMXM3   14.00   -2.17      -0.11   0.000      0.00    0.710      -0.10      4.70       -0.09       18.64       18.64   0.00        0.00        0.01    0.2593      0.0497 0.00   
APTI4   3500.00 -2.16      0.31    1.921      0.00    0.139      0.39       -25.39     -0.89       -19.68      -63.70  -0.0756     -0.8904     9.26    -0.0064     -0.1445 0.00   
OGXP3   1.63    -2.15      -0.98   0.000      0.00    0.925      0.00       -16.46     0.00        -16.46      -16.46  0.00        0.00        0.00    0.00        0.4553 0.00   
VTLM3   0.79    -2.07      -0.65   390.404    0.00    53.237     -0.72      -2.88      -0.64       -2.88       -2.94   -135.485    -188.606    0.00    5.217       0.3147 0.00   
SJOS3   1.19    -2.02      -0.09   8.940      0.00    3.866      -0.10      -80.33     -0.09       -213.11     -213.11 -0.1113     -4.4257     0.02    0.0049      0.0454 0.00   
ARCZ3   3.66    -1.88      1.95    1.096      0.00    0.369      1.53       9.50       -0.84       28.18       28.18   0.1154      -0.5802     2.86    0.0403      -1.0398 0.00   
ARCZ6   3.63    -1.86      1.94    1.087      0.00    0.366      1.52       9.42       -0.84       28.10       28.10   0.1154      -0.5802     2.86    0.0403      -1.0398 0.00   
GSHP3   16.19   -1.85      -0.04   0.199      0.00    0.020      -0.51      0.69       -0.01       39.65       37.90   0.2876      -0.1072     0.81    0.0311      0.0201 417.68 
GFSA3   6.32    -1.84      0.24    0.336      0.00    0.076      0.22       -3.35      5.18        -17.56      -23.80  -0.1002     -0.1829     2.03    -0.024      -0.1288 19746900.00
BISA3   1.58    -1.77      1.18    1.692      0.00    0.321      0.86       -4.02      -7.64       -6.21       -9.28   -0.4205     -0.9636     2.22    -0.085      -0.6694 0.00   
BCAL6   0.28    -1.70      -0.07   1.946      0.00    13.030     -0.09      38.77      -0.07       452.65      452.65  0.0502      -1.1449     0.01    0.3897      0.041 0.00   
DJON4   0.18    -1.70      0.22    -0.956     0.00    0.166      -1.29      -1.42      -0.85       -1.98       -1.98   0.6737      0.5633      0.24    -0.1202     -0.1284 0.00   
SPRI6   11.00   -1.68      1.24    0.000      0.00    1.196      2.33       -3.21      2.47        -2.86       -2.88   0.00        0.00        66.47   -0.4286     -0.7382 0.00   
BLUT4   1.52    -1.66      0.14    0.000      0.00    0.041      -0.22      -12.69     -0.06       -23.74      -23.74  0.00        0.00        0.00    -0.0033     -0.0824 10453.20
ARLA3   2.47    -1.62      -0.45   1.562      0.00    0.323      -0.22      -4.92      -0.21       -16.06      -16.06  -0.3172     -0.9655     0.10    -0.1371     0.28  0.00   
SPRI3   10.51   -1.61      1.19    0.000      0.00    1.143      2.23       -3.07      2.36        -2.72       -2.74   0.00        0.00        66.47   -0.4286     -0.7382 0.00   
DOTZ3   1.01    -1.60      -0.60   0.959      0.00    0.446      -0.71      -3.24      -0.35       -3.26       -9.12   -0.2965     -0.5993     0.44    -0.2573     0.3749 64819.50
SCLO4   0.41    -1.60      -2.44   0.000      0.00    21.108     -2.24      -2.79      -2.22       -2.98       -2.98   0.00        0.00        0.01    -7.8259     1.5253 0.00   
SDIA4   6.42    -1.59      9.41    0.397      0.00    0.418      -3.29      9.53       -0.83       23.15       23.15   0.0416      -0.2509     0.78    0.0589      -5.9066 0.00   
SDIA3   6.42    -1.59      9.41    0.397      0.00    0.418      -3.29      9.53       -0.83       23.15       23.15   0.0416      -0.2509     0.78    0.0589      -5.9066 0.00   
DUQE3   28.00   -1.58      -11.29  12.103     0.00    0.428      -0.74      -1.65      -0.57       -2.70       -2.98   -7.3292     -7.676      0.33    -0.2821     7.1574 0.00   
ESTR3   12.00   -1.42      -0.18   0.607      0.00    0.332      -0.17      -24.63     -0.14       -46.03      -96.57  -0.0246     -0.426      0.22    -0.016      0.1238 30.00  
SPRI5   8.52    -1.30      0.96    0.000      0.00    0.927      1.81       -2.49      1.91        -2.14       -2.15   0.00        0.00        66.47   -0.4286     -0.7382 0.00   
TXRX3   9.00    -1.28      -0.11   0.239      0.00    0.181      -0.18      358.23     -0.08       3151.51     71.25   0.0007      -0.187      0.32    0.0007      0.0834 0.00   
CTSA4   2.24    -1.27      0.27    0.578      0.00    0.099      1.21       -1.06      -0.30       -4.07       -5.01   -0.5435     -0.4569     1.37    -0.1065     -0.2136 145610.00
IDVL4   2.67    -1.26      1.16    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.9176 0.00   
PMET6   0.20    -1.21      -0.05   1.390      0.00    9.307      -0.07      27.69      -0.05       441.57      441.57  0.0502      -1.1449     0.01    0.3897      0.041 0.00   
LIGH3   16.66   -1.17      6.10    0.534      0.00    0.339      -0.61      -3.14      -0.41       -7.41       -10.80  -0.17       -0.4554     0.18    -0.1169     -5.2024 0.00   
JFEN3   2.41    -1.15      -0.07   0.605      0.00    0.047      -0.21      -0.70      -0.05       -8.75       -8.93   -0.8607     -0.5756     0.78    -0.0727     0.0643 84962.10
LGLO4   100.00  -1.05      0.65    0.225      0.00    0.192      -0.32      -1.24      -0.32       -2.13       -2.13   -0.181      -0.2147     0.14    -0.1837     -0.6251 0.00   
IDVL3   2.16    -1.02      0.93    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.9176 0.00   
FHER3   7.47    -1.00      10.32   0.074      0.00    0.142      0.99       -1.07      -0.58       -0.95       -1.08   -0.0688     -0.0738     1.24    -0.2447     -10.3375 113059.00
VIVR3   4.16    -0.96      4.93    1.188      0.00    0.323      16.05      -3.30      -0.71       -3.11       -3.21   -0.3597     -1.2412     1.04    -0.1103     -5.1444 855518.00
DHBI3   19.00   -0.83      -0.17   0.869      0.00    0.343      -0.16      -3.68      -0.13       -24.58      -59.55  -0.2358     -1.5481     0.12    -0.105      0.2103 0.00   
LETO5   2.06    -0.83      -0.14   0.000      0.00    0.248      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1705 0.00   
IENG3   0.15    -0.81      0.99    1.717      0.00    0.110      -1.17      3.88       -0.30       25.11       25.11   0.4429      -2.2461     0.85    0.0284      -1.2241 0.00   
FRTA3   2.17    -0.78      -0.06   0.593      0.00    0.148      -0.05      -1.30      -0.04       -20.23      -22.03  -0.4564     -0.757      0.03    -0.1616     0.0767 27847.80
BHIA3   0.53    -0.70      0.28    0.042      0.00    0.039      -0.27      0.87       -0.09       5.68        3.20    0.0481      -0.0591     0.74    0.0625      -0.4032 43920400.00
LATM11  28.65   -0.68      0.02    0.006      0.00    0.003      -0.02      0.05       0.00        7.74        7.74    0.1146      -0.0039     0.49    0.0655      -0.0237 0.00   
CELM3   15.00   -0.67      -0.16   0.257      0.00    0.132      -0.21      -1.02      -0.10       -4.26       -4.26   -0.2514     -0.3836     0.44    -0.156      0.2341 0.00   
BAHI11  2.00    -0.65      1.22    0.140      0.00    0.085      -0.22      -3.99      -0.10       -17.47      46.28   -0.0351     -0.2211     0.13    -0.0219     -1.8832 0.00   
IENG5   0.12    -0.65      0.79    1.374      0.00    0.088      -0.93      3.10       -0.24       24.33       24.33   0.4429      -2.2461     0.85    0.0284      -1.2241 0.00   
ESTR4   5.10    -0.61      -0.07   0.258      0.00    0.141      -0.07      -10.47     -0.06       -31.86      -66.85  -0.0246     -0.426      0.22    -0.016      0.1238 353.18 
BRPR3   131.17  -0.57      0.05    0.695      32.9944 0.038      1.73       12.11      -0.49       -3.70       -2.55   0.0574      -1.2398     1.12    0.0035      -0.0934 678817.00
CTSA8   1.00    -0.57      0.12    0.258      0.00    0.044      0.54       -0.48      -0.13       -3.48       -4.28   -0.5435     -0.4569     1.37    -0.1065     -0.2136 0.00   
INEP3   4.33    -0.52      -0.11   20.482     0.00    0.154      -0.15      -3.14      -0.07       -17.86      -19.47  -6.5232     -37.4568    0.08    -0.052      0.2032 329980.00
CTNM3   8.00    -0.52      1.02    0.204      0.00    0.074      -0.24      -0.61      -0.13       -3.33       -4.52   -0.3348     -0.7052     0.49    -0.1443     -1.972 3011.00
REEM4   4.63    -0.48      -0.08   0.197      0.00    0.137      -0.14      -4.33      -0.07       -3.84       -6.01   -0.0454     -0.4065     0.45    0.0461      0.1578 0.00   
CCXC3   1.16    -0.48      -0.04   0.000      0.00    0.185      0.00       -0.65      0.00        -0.52       -0.52   0.00        0.00        0.00    0.00        0.0785 0.00   
GPIV33  2.99    -0.45      0.25    -0.509     0.00    0.080      0.75       -0.42      -1.13       0.05        0.05    1.2182      1.5142      1.38    -0.307      -0.5477 114376.00
LIGT3   5.95    -0.42      0.73    0.167      0.00    0.095      -0.21      -1.56      -0.14       -7.76       -16.96  -0.107      -0.3979     0.29    -0.0706     -1.7347 5615950.00
TXRX4   2.83    -0.40      -0.03   0.075      0.00    0.057      -0.06      112.65     -0.03       2905.92     65.69   0.0007      -0.187      0.32    0.0007      0.0834 2235.43
DOCA3   11.00   -0.40      -0.03   -3.064     0.00    0.030      -0.32      -0.26      -0.02       -6.86       -6.76   11.6592     6.3617      0.61    -0.1248     0.0824 0.00   
FGUI4   0.38    -0.39      -0.07   0.507      0.00    0.798      -0.07      -1.83      -0.06       -14.24      -14.24  -0.2772     -1.29       0.04    -0.6074     0.1732 0.00   
INEP4   3.08    -0.37      -0.08   14.569     0.00    0.110      -0.11      -2.23      -0.05       -16.95      -18.49  -6.5232     -37.4568    0.08    -0.052      0.2032 173177.00
AMAR3   3.88    -0.37      2.47    0.119      0.00    0.107      -0.81      -2.75      -0.19       -14.27      10.66   -0.0432     -0.3242     0.75    -0.0538     -6.7321 3549890.00
WISA4   0.25    -0.35      -0.01   0.219      0.00    0.029      -0.06      -0.31      -0.01       -19.27      -19.27  -0.7141     -0.6275     0.18    -0.0978     0.0239 0.00   
LETO3   0.80    -0.32      -0.05   0.000      0.00    0.096      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1705 0.00   
AVLL3   4.90    -0.31      -0.22   0.363      0.00    0.104      -0.15      7.42       -0.09       61.27       50.20   0.049       -1.1828     0.28    0.0162      0.7188 4189.15
PCAR3   3.41    -0.30      0.18    1.359      0.00    0.041      0.48       -3.30      -0.09       -11.58      14.37   -0.4115     -4.2684     1.32    -0.0169     -0.612 29913800.00
SEQL3   0.45    -0.29      1.18    0.146      0.00    0.088      -0.62      -0.41      -0.13       -3.11       -5.45   -0.3525     -0.5003     0.64    -0.2323     -4.0455 3638700.00
WISA3   0.20    -0.28      -0.01   0.175      0.00    0.023      -0.05      -0.25      -0.01       -19.21      -19.21  -0.7141     -0.6275     0.18    -0.0978     0.0239 0.00   
PDGR3   2.55    -0.21      -0.04   1.463      0.00    0.189      -0.07      -11.54     -0.03       -91.31      -95.47  -0.1268     -6.8526     0.22    -0.0241     0.1717 505523.00
DOCA4   5.00    -0.18      -0.01   -1.393     0.00    0.014      -0.15      -0.12      -0.01       -6.71       -6.62   11.6592     6.3617      0.61    -0.1248     0.0824 0.00   
RPMG3   2.04    -0.17      -0.03   0.028      0.00    0.023      -0.03      -0.14      -0.03       -0.14       -0.14   -0.2057     -0.1672     0.55    -0.175      0.1632 17237.50
DUQE4   2.95    -0.17      -1.19   1.275      0.00    0.045      -0.08      -0.17      -0.06       -1.23       -1.35   -7.3292     -7.676      0.33    -0.2821     7.1574 0.00   
RSID3   4.08    -0.16      -0.07   -1.735     0.00    0.130      -0.07      -1.03      -0.05       -8.75       -8.88   1.692       11.0744     0.22    -0.1401     0.4143 273685.00
SJOS4   0.09    -0.15      -0.01   0.676      0.00    0.292      -0.01      -6.08      -0.01       -138.86     -138.86 -0.1113     -4.4257     0.02    0.0049      0.0454 0.00   
FTRX3   0.13    -0.15      -0.02   0.206      0.00    0.023      -0.04      -0.19      -0.01       -1.77       -2.27   -1.0622     -1.3883     0.06    -0.1199     0.135 0.00   
FTRX4   0.11    -0.13      -0.02   0.174      0.00    0.019      -0.03      -0.16      -0.01       -1.74       -2.24   -1.0622     -1.3883     0.06    -0.1199     0.135 0.00   
MEND6   9.50    -0.12      -0.01   62.941     0.00    0.103      -0.04      -0.10      -0.01       -12.77      -12.78  -638.582    -530.109    0.00    -1.0525     0.053 0.00   
SNSY5   3.82    -0.10      -0.02   0.034      0.00    0.058      1.98       0.76       -0.01       4.08        2.93    0.0445      -0.3311     1.05    0.0859      0.1519 39125.20
NEXP3   5.17    -0.10      -0.10   0.146      0.00    0.107      -0.26      4.73       -0.06       22.10       4.16    0.0308      -1.4398     0.47    0.0249      0.9662 7638.33
FBMC4   1.96    -0.09      -0.02   0.095      0.00    0.034      -0.04      -0.07      -0.02       -0.53       -0.59   -1.3559     -1.0197     0.31    -0.647      0.2419 0.00   
CTNM4   1.35    -0.09      0.17    0.034      0.00    0.013      -0.04      -0.10      -0.02       -2.83       -3.83   -0.3348     -0.7052     0.49    -0.1443     -1.972 131213.00
SGPS3   1.33    -0.09      0.40    0.066      0.00    0.026      -0.07      -0.16      -0.04       -2.21       -2.87   -0.4231     -0.7723     0.45    -0.2014     -4.7013 1689260.00
MEND5   6.50    -0.08      0.00    43.065     0.00    0.071      -0.03      -0.07      0.00        -12.74      -12.74  -638.582    -530.109    0.00    -1.0525     0.053 0.00   
PMAM4   5.84    -0.08      -0.06   0.238      0.00    0.134      -0.07      -0.37      -0.05       -5.57       -6.51   -0.6513     -2.9702     0.15    -0.5328     0.7899 0.00   
RCTB33  57.00   -0.07      0.00    0.012      0.00    0.001      0.00       -0.02      -0.01       3.63        18.01   -0.7809     -0.1709     4.96    -0.1171     -0.0428 0.00   
TENE7   9.80    -0.07      -0.01   74.113     0.00    0.110      -2.64      -1.26      -0.01       -1.26       -2.27   -58.6875    -1028.81    0.00    -0.0895     0.1401 0.00   
VPTA4   10.50   -0.07      -0.01   0.260      0.00    0.054      -0.02      -0.13      -0.01       -6.89       -6.89   -1.9357     -3.9638     0.23    -0.45       0.1011 0.00   
AMER3   0.93    -0.07      -0.03   0.033      0.00    0.027      -0.03      -0.21      -0.02       -4.36       -7.28   -0.1556     -0.5003     0.34    -0.2164     0.4842 17976300.00
PMAM3   4.28    -0.06      -0.05   0.174      0.00    0.098      -0.05      -0.27      -0.03       -5.47       -6.39   -0.6513     -2.9702     0.15    -0.5328     0.7899 100528.00
TEKA4   16.75   -0.06      0.00    0.029      0.00    0.007      0.00       -8.33      0.00        -543.31     157.98  -0.0035     -0.5284     0.04    -0.0015     0.0743 28682.20
RCTB31  41.00   -0.05      0.00    0.009      0.00    0.001      0.00       -0.01      0.00        3.63        18.03   -0.7809     -0.1709     4.96    -0.1171     -0.0428 0.00   
VPSC4   9.99    -0.05      4.30    0.029      0.00    0.033      -0.06      -0.13      -0.06       -0.20       -0.20   -0.2282     -0.559      0.43    -0.2856     -82.4683 0.00   
OIBR4   1.70    -0.05      -0.04   0.112      0.00    0.038      -0.28      -0.28      -0.02       -5.99       -12.62  -0.3958     -2.2473     0.72    -0.1787     0.8429 151073.00
VAGV3   1.14    -0.05      -0.01   0.014      0.00    0.037      -0.08      -0.27      -0.01       -8.90       -8.90   -0.0508     -0.2929     0.52    -0.1514     0.2073 0.00   
DHBI4   1.01    -0.04      -0.01   0.046      0.00    0.018      -0.01      -0.20      -0.01       -21.09      -51.10  -0.2358     -1.5481     0.12    -0.105      0.2103 0.00   
RCTB41  33.51   -0.04      0.00    0.007      0.00    0.001      0.00       -0.01      0.00        3.64        18.04   -0.7809     -0.1709     4.96    -0.1171     -0.0428 0.00   
VAGV4   1.02    -0.04      -0.01   0.012      0.00    0.033      -0.07      -0.24      -0.01       -8.87       -8.87   -0.0508     -0.2929     0.52    -0.1514     0.2073 0.00   
OSXB3   4.07    -0.04      0.00    0.301      0.00    0.005      -0.02      -1.60      0.00        -735.45     1185.02 -0.1877     -9.2713     0.02    -0.0032     0.0525 111083.00
GAFP3   0.12    -0.04      -0.01   0.372      0.00    0.015      -0.09      -0.48      -0.01       -46.92      -46.92  -0.7757     -9.8128     0.51    -0.0321     0.3879 0.00   
ARTE3   7.70    -0.04      -0.04   0.000      0.00    0.103      0.00       -0.52      0.00        -15.85      -15.85  0.00        0.00        0.00    0.00        1.029 0.00   
TROR3   2.63    -0.03      -0.01   0.598      0.00    0.532      -0.01      -6.57      -0.01       -728.92     -728.92 -0.0911     -17.4552    0.01    -0.0977     0.2114 0.00   
VPSC3   6.03    -0.03      2.59    0.017      0.00    0.020      -0.03      -0.08      -0.04       -0.15       -0.15   -0.2282     -0.559      0.43    -0.2856     -82.4683 0.00   
VPTA3   5.00    -0.03      0.00    0.124      0.00    0.026      -0.01      -0.06      0.00        -6.82       -6.82   -1.9357     -3.9638     0.23    -0.45       0.1011 0.00   
ARTE4   6.81    -0.03      -0.03   0.000      0.00    0.091      0.00       -0.46      0.00        -15.79      -15.79  0.00        0.00        0.00    0.00        1.029 0.00   
TEKA3   8.23    -0.03      0.00    0.014      0.00    0.004      0.00       -4.09      0.00        -539.07     156.74  -0.0035     -0.5284     0.04    -0.0015     0.0743 0.00   
RCTB42  20.00   -0.03      0.00    0.004      0.00    0.000      0.00       -0.01      0.00        3.64        18.06   -0.7809     -0.1709     4.96    -0.1171     -0.0428 0.00   
RPMG4   0.26    -0.02      0.00    0.004      0.00    0.003      0.00       -0.02      0.00        -0.02       -0.02   -0.2057     -0.1672     0.55    -0.175      0.1632 0.00   
TROR4   1.56    -0.02      0.00    0.355      0.00    0.316      0.00       -3.90      0.00        -726.24     -726.24 -0.0911     -17.4552    0.01    -0.0977     0.2114 0.00   
OIBR3   0.66    -0.02      -0.02   0.043      0.00    0.015      -0.11      -0.11      -0.01       -5.81       -12.26  -0.3958     -2.2473     0.72    -0.1787     0.8429 4061990.00
GAFP4   0.05    -0.02      -0.01   0.155      0.00    0.006      -0.04      -0.20      0.00        -46.65      -46.65  -0.7757     -9.8128     0.51    -0.0321     0.3879 0.00   
MILK33  0.30    -0.02      -0.02   0.077      0.00    0.029      -0.08      -0.04      -0.02       -0.11       -0.12   -1.768      -5.0808     0.50    -0.7091     1.6512 0.00   
TENE5   0.50    0.00       0.00    3.781      0.00    0.006      -0.13      -0.06      0.00        -0.06       -0.11   -58.6875    -1028.81    0.00    -0.0895     0.1401 0.00   
CGOS4   16.00   0.00       0.00    0.000      0.00    0.000      0.00       -0.16      0.00        -313.85     -313.85 -0.002      -0.1048     0.54    -0.0008     -0.3902 0.00   
CBMA4   0.01    0.00       0.00    2.521      0.00    0.007      -0.50      -0.04      0.00        -806.75     -806.75 -58.8034    -5646.25    0.61    -0.1695     0.1035 0.00   
CBMA3   0.01    0.00       0.00    2.521      0.00    0.007      -0.50      -0.04      0.00        -806.75     -806.75 -58.8034    -5646.25    0.61    -0.1695     0.1035 0.00   
INHA3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -14.20      -19.25  -0.1002     -0.1829     2.03    -0.024      -0.1288 0.00   
ECIS4   145.00  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        1.53        1.53    0.349       0.1418      1.38    0.1248      0.0733 0.00   
MLPA3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -2.08       -2.08   0.0666      0.0892      0.00    0.00        0.4513 0.00   
AGEI3   7.80    0.00       1.25    0.000      0.00    0.470      1.39       0.00       -12.59      0.00        0.00    0.00        0.00        2.45    0.00        0.00  0.00   
MMAQ3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -25.45      -25.45  -0.005      0.034       1.69    -0.0119     0.1308 0.00   
ABCB3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1429 0.00   
ICPI3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  0.00   
ARPS4   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -14.08      -14.08  -0.0492     -0.1159     0.91    -0.0664     0.2034 0.00   
JBDU3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  0.00   
ECIS3   211.65  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        1.53        1.53    0.349       0.1418      1.38    0.1248      0.0733 0.00   
ARPS3   0.30    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -14.08      -14.08  -0.0492     -0.1159     0.91    -0.0664     0.2034 0.00   
LATS3   22.00   0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        1.27        1.27    0.1174      0.013       1.67    0.1163      0.0184 0.00   
ALBA3   2.15    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -1.27       -1.27   0.095       0.0962      1.83    0.204       0.1977 0.00   
LCAM3   24.15   0.00       3.23    0.000      0.00    1.228      -267.74    0.00       -2.67       0.00        0.00    0.00        0.00        0.97    0.00        0.00  0.00   
VNET3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  0.00   
JFAB4   0.06    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        -112.33     -112.33 0.00        0.00        0.00    0.00        0.0234 0.00   
VSPT3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  0.00   
EQMA6B  0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  0.00   
ILLS4   100.01  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.73        0.73    0.0843      -0.1022     0.50    0.0814      0.3609 0.00   
GALO3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.1398      -1.8458     0.00    0.3937      0.0762 0.00   
GALO4   0.25    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.1398      -1.8458     0.00    0.3937      0.0762 0.00   
